RESPNUM,CCGID,RUNID,INTDATE,DAY,GATE,BAREA,STRATA,PEAK,METH,SAQ,AIRLINE,DESTINATION,FLIGHT,AIRLINE_CODE,DEST_CODE,DESTGEO,DESTMARK,ARRTIME,DEPTIME,HOWLONG,Q2PURP1,Q2PURP2,Q2PURP3,Q3GETTO1,Q3GETTO2,Q3GETTO3,Q3PARK,Q4BAGS,Q4STORE,Q4FOOD,Q4WIFI,Q5TIMESFLOWN,Q5FIRSTTIME,Q6LONGUSE,Q7ART,Q7FOOD,Q7STORE,Q7SIGN,Q7WALKWAY,Q7SCREENS,Q7INFODOWN,Q7INFOUP,Q7WIFI,Q7ROADS,Q7PARK,Q7AIRTRAIN,Q7LTPARKING,Q7RENTAL,Q7ALL,Q8-1,Q8-2,Q8-3,Q8-4,Q8-5,Q9Boarding,Q9AirTrain,Q9Rental,Q9Food,Q9Restroom,Q9All,Q9-1,Q9-2,Q9-3,Q10Safe,Q10-1,Q10-2,Q10-3,Q11TSAPRE,Q12PRECHECKRATE,Q12-1,Q12-2,Q12-3,Q13COUNTY,Q13GETRATE,Q14FIND ,Q14PASSTHRU,Q15PROBLEM,Q15-1,Q15-2,Q15-3,NETPRO  ,Q17LIVE,Q18CITY,Q18STATE,Q18ZIP,Q18COUNTRY,HOME,Q20Age,Q21Gender,Q22Income,Q23FLY,Q24SJC,Q24OAK,LANG,WEIGHT
2346,1718,557,21,2,98,G,3,3,1,2,UNITED INTL,MEXICO CITY,412,31,36,4,4,5:00 PM,11:10:00 PM,370,2,,,2,,,,1,2,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,5,5,5,5,5,5,0,,,5,0,,,1,5,0,,,28,5,5,5,2,,,,10,3,PUEBLA,,,MEXICO,13,4,2,0,3,3,0,2,1.4869248
2347,1142,121,12,7,1,A,2,2,1,2,JETBLUE,LONG BEACH,2135,22,33,1,1,1:00 PM,3:03:00 PM,123,2,,,5,,,,2,2,2,1,2,1,2,4,4,3,4,4,4,5,4,5,4,5,4,4,5,5,0,,,,,4,4,4,5,5,5,0,,,5,0,,,1,5,0,,,5,5,5,5,2,,,,10,1,SAN FRANCISCO,CA,94160,US,5,3,2,0,1,1,1,1,0.6704842
2348,934,157,15,3,11,A,1,2,1,2,JETBLUE,BOSTON,434,22,8,2,3,6:20 AM,7:57:00 AM,97,2,,,2,,,,2,2,2,1,5,1,4,4,3,2,4,4,5,6,6,5,5,5,6,6,6,3,0,,,,,5,6,6,3,4,5,0,,,5,0,,,1,5,0,,,5,5,5,0,2,,,,10,1,SAN FRANCISCO,CA,94123,US,5,5,2,0,1,2,2,1,0.6704842
2349,1013,156,15,3,11,A,1,2,1,2,JETBLUE,NEW YORK-JFK,16,22,42,2,4,5:00 AM,7:00:00 AM,120,2,,,5,,,,1,2,2,2,1,1,4,3,3,3,5,5,5,5,5,6,6,6,6,6,6,4,0,,,,,5,6,6,3,5,5,0,,,4,0,,,1,5,0,,,5,5,5,5,2,,,,10,3,STITTVILLE,NY,13469,US,12,7,2,2,2,2,2,1,0.6704842
2350,756,535,16,4,4,A,3,3,1,2,AIR FRANCE/KLM,PARIS-DE GAULLE,85,5,47,6,4,6:00 PM,8:30:00 PM,150,2,,,9,,,,1,0,0,1,1,1,3,5,5,5,5,5,5,5,5,5,5,6,5,6,5,BLANK,0,,,,,5,5,5,5,5,5,0,,,5,0,,,1,5,0,,,5,5,5,5,2,,,,10,3,,,,FRANCE,15,7,1,0,2,2,2,1,0.2863575
2351,453,9,1,3,57,D,2,1,1,2,AMERICAN,NEW YORK-JFK,12,8,42,2,4,9:00 AM,11:25:00 AM,145,2,,,5,,,,1,2,1,1,1,1,4,5,4,5,5,5,5,5,5,5,5,6,5,6,5,BLANK,993,991,,,,5,5,5,5,5,5,0,,,5,0,,,1,5,0,,,5,5,5,4,2,,,,10,3,PELHAM,NY,10803,US,12,6,2,4,2,2,2,1,1.0611394
2352,2208,613,23,4,58,D,3,2,1,2,AMERICAN,MIAMI,556,8,37,2,4,7:15 PM,9:28:00 PM,133,2,,,5,,,,2,1,2,1,3,1,4,5,5,5,5,5,5,5,5,5,5,5,0,0,0,5,0,,,,,5,0,0,0,5,5,0,,,5,0,,,1,5,0,,,6,5,5,4,2,,,,10,1,REDWOOD CITY,CA,94065,US,6,6,2,4,2,1,1,1,1.0611394
2353,2210,613,23,4,58,D,3,2,1,2,AMERICAN,MIAMI,556,8,37,2,4,5:00 PM,9:28:00 PM,268,2,,,5,,,,2,1,1,1,1,2,1,4,5,4,5,5,5,4,4,5,5,5,6,6,6,5,0,,,,,5,5,6,5,5,5,0,,,5,0,,,1,5,0,,,5,5,5,5,2,,,,10,3,MIAMI,FL,33165,US,12,3,1,2,2,2,2,1,1.0611394
2354,457,8,1,3,45,D,1,1,1,2,AMERICAN,LOS ANGELES,6020,8,34,1,4,8:50 AM,10:10:00 AM,80,2,,,6,,,,1,2,2,2,1,2,1,6,2,3,4,4,4,6,6,6,6,6,5,6,6,5,0,,,,,5,5,6,6,6,5,0,,,5,0,,,1,5,0,,,5,5,5,5,2,,,,10,3,HOBART,,,AUSTRALIA,19,6,2,2,2,2,2,1,1.0611394
2355,1959,556,21,2,101,G,3,3,1,2,AIR CANADA,TORONTO,754,3,70,4,4,8:00 PM,10:30:00 PM,150,2,,,6,,,,1,1,2,1,1,2,1,4,6,4,5,5,5,5,5,5,6,6,6,6,6,5,0,,,,,5,6,6,6,4,5,5,,,5,1,,,2,,,,,5,5,5,5,2,,,,10,3,TORONTO,,,CANADA,13,2,2,2,2,2,2,1,0.3461202
2356,1587,133,13,1,50,D,2,1,1,2,ALASKA,NASHVILLE,1100,7,40,3,2,10:00 AM,11:36:00 AM,96,2,,,5,,,,0,1,0,0,2,1,2,5,5,5,5,5,5,5,5,5,5,6,6,6,6,5,103,,,,,5,5,6,5,5,5,10,,,5,1,,,2,,,,,5,5,5,5,2,,,,10,3,NASHVILLE,TN,37203,US,11,3,2,2,2,2,2,1,1.1063322
2357,663,618,24,5,44,C,3,2,1,2,DELTA,LOS ANGELES,2670,16,34,1,4,5:20 PM,7:10:00 PM,110,2,,,6,,,,1,1,1,1,3,1,4,5,3,3,3,4,4,4,4,5,5,5,5,6,6,5,24,,,,,3,5,6,4,4,4,0,,,5,1,,,2,,,,,1,5,5,5,2,,,,10,1,OAKLAND,CA,94602,US,1,3,2,3,2,2,1,1,1.1789461
2358,512,902,1,3,72,F,3,2,1,2,UNITED,SEATTLE,2161,30,62,1,4,4:30 PM,5:37:00 PM,67,2,,,3,,,,2,2,2,2,3,1,3,5,3,3,3,3,3,3,3,3,4,3,4,6,6,4,0,,,,,4,4,6,3,4,4,0,,,5,1,2,,2,,,,,7,5,5,5,2,,,,10,1,LOS ALTOS,CA,94022,US,7,5,2,4,2,1,0,1,1.4869248
2359,1399,525,15,3,28,B,3,2,1,2,SOUTHWEST,LAS VEGAS,1201,28,31,1,4,8:30 PM,9:45:00 PM,75,2,,,1,,,0,2,2,2,1,6,1,2,4,4,4,5,5,5,3,3,5,4,4,5,5,4,5,1,,,,,5,5,5,5,5,5,0,,,5,1,,,2,,,,,6,5,5,5,2,,,,10,1,SAN MATEO,CA,94404,US,6,3,1,1,1,1,1,1,0.9942748
2360,460,11,1,3,56,D,2,1,1,2,AMERICAN,MIAMI,268,8,37,2,4,10:30 AM,1:05:00 PM,155,2,,,1,,,1,2,2,2,2,1,1,3,5,6,6,5,5,5,5,5,5,5,5,5,5,5,5,0,,,,,5,5,5,5,5,5,0,,,5,1,,,2,,,,,5,5,5,5,2,,,,10,3,MIAMI,FL,33145,US,12,2,2,1,3,2,2,1,1.0611394
2361,1406,525,15,3,28,B,3,2,1,2,SOUTHWEST,LAS VEGAS,1201,28,31,1,4,8:00 PM,9:45:00 PM,105,2,,,2,,,,1,2,2,2,2,1,2,4,2,2,5,5,5,5,5,5,2,6,6,6,6,5,0,,,,,5,6,6,6,4,5,0,,,5,1,,,2,,,,,6,5,5,5,2,,,,10,1,SOUTH SAN FRANCISCO,CA,94080,US,6,2,1,2,2,2,1,1,0.9942748
2362,368,27,2,4,9,A,1,1,1,2,HAWAIIAN AIR,HONOLULU,11,20,24,1,2,6:12 AM,9:00:00 AM,168,2,,,5,,,,2,1,2,1,2,1,3,3,5,5,5,5,5,5,5,5,4,5,5,5,5,5,0,,,,,5,5,5,5,5,5,0,,,5,1,,,2,,,,,5,5,5,5,2,,,,10,3,EWA BEACH,HI,96706,US,10,0,1,2,2,0,0,1,0.6704842
2363,923,157,15,3,11,A,1,2,1,2,JETBLUE,BOSTON,434,22,8,2,3,5:00 AM,7:57:00 AM,177,2,,,2,,,,1,2,2,3,1,1,2,6,6,6,6,4,5,6,5,6,4,6,5,6,6,4,0,,,,,4,5,6,6,4,5,0,,,5,1,,,2,,,,,5,5,5,5,2,,,,10,1,SAN FRANCISCO,CA,94112,US,5,2,1,1,3,2,2,1,0.6704842
2364,1933,554,21,2,99,G,3,3,1,2,LUFTHANSA,MUNICH,459,24,39,6,4,6:00 PM,8:55:00 PM,175,2,,,5,,,,1,2,2,1,1,2,1,3,3,3,4,4,4,4,4,4,6,6,6,6,6,4,0,,,,,4,6,6,4,4,4,0,,,4,2,,,2,,,,,5,5,5,5,2,,,,10,3,LANDSHUT,,,GERMANY,15,2,2,0,3,2,2,1,0.3607733
2365,2586,61,4,6,54,D,1,1,1,2,ALASKA,SAN DIEGO,1952,7,57,1,2,6:00 AM,8:36:00 AM,156,2,,,2,,,,1,2,1,2,1,1,2,4,3,3,4,4,6,6,6,6,5,6,6,6,6,5,103,,,,,5,6,6,5,5,5,0,,,5,2,,,2,,,,,2,5,5,3,2,,,,10,1,OAKLEY,CA,94561,US,2,3,2,1,2,0,1,1,1.1063322
2366,2402,644,31,5,54,D,1,2,1,2,ALASKA,SEATTLE,313,7,62,1,4,5:10 AM,7:15:00 AM,125,2,,,5,,,,1,1,2,1,1,2,1,4,6,4,4,6,5,6,6,5,3,6,6,6,5,5,103,,,,,5,5,5,6,6,5,0,,,5,2,,,2,,,,,5,5,5,5,2,,,,10,3,SYDNEY,,,AUSTRALIA,19,2,1,1,2,2,2,1,1.1063322
